abs	[#number#]abs(<#mixed $number#>)
event_buffer_free	[#void#]event_buffer_free(<#resource $bevent#>)
event_buffer_new	[#resource#]event_buffer_new(<#resource $stream#>,<#mixed $readcb#>,<#mixed $writecb#>,<#mixed $errorcb#>,<#mixed $arg#>)
event_buffer_priority_set	[#bool#]event_buffer_priority_set(<#resource $bevent#>,<#int $priority#>)
event_buffer_read	[#string#]event_buffer_read(<#resource $bevent#>,<#int $data_size#>)
event_buffer_set_callback	[#bool#]event_buffer_set_callback(<#resource $event#>,<#mixed $readcb#>,<#mixed $writecb#>,<#mixed $errorcb#>,<#mixed $arg#>)
event_buffer_timeout_set	[#void#]event_buffer_timeout_set(<#resource $bevent#>,<#int $read_timeout#>,<#int $write_timeout#>)
event_buffer_watermark_set	[#void#]event_buffer_watermark_set(<#resource $bevent#>,<#int $events#>,<#int $lowmark#>,<#int $highmark#>)
event_buffer_write	[#bool#]event_buffer_write(<#resource $bevent#>,<#string $data#>,<#int $data_size#>)
event_del	[#bool#]event_del(<#resource $event#>)
event_free	[#void#]event_free(<#resource $event#>)
event_new	[#resource#]event_new()
event_priority_set	[#bool#]event_priority_set(<#resource $event#>,<#int $priority#>)
event_set	[#bool#]event_set(<#resource $event#>,<#mixed $fd#>,<#int $events#>,<#mixed $callback#>,<#mixed $arg#>)
event_timer_set	[#bool#]event_timer_set(<#resource $event#>,<#callable $callback#>,<#mixed $arg#>)
exec	[#string#]exec(<#string $command#>,<#array &$output#>,<#int &$return_var#>)
exif_imagetype	[#int#]exif_imagetype(<#string $filename#>)
exif_read_data	[#array#]exif_read_data(<#string $filename#>,<#string $sections#>,<#bool $arrays#>,<#bool $thumbnail#>)
exif_tagname	[#string#]exif_tagname(<#int $index#>)
exif_thumbnail	[#string#]exif_thumbnail(<#string $filename#>,<#int &$width#>,<#int &$height#>,<#int &$imagetype#>)
exit	[#void#]exit(<#string $status#>)
expect_expectl	[#int#]expect_expectl(<#resource $expect#>,<#array $cases#>,<#array &$match#>)
expect_popen	[#resource#]expect_popen(<#string $command#>)
exp	[#float#]exp(<#float $arg#>)
explode	[#array#]explode(<#string $delimiter#>,<#string $string#>,<#int $limit#>)
expm1	[#float#]expm1(<#float $arg#>)
extension_loaded	[#bool#]extension_loaded(<#string $name#>)
extract	[#int#]extract(<#array &$var_array#>,<#int $extract_type#>,<#string $prefix#>)
ezmlm_hash	[#int#]ezmlm_hash(<#string $addr#>)
fam_cancel_monitor	[#bool#]fam_cancel_monitor(<#resource $fam#>,<#resource $fam_monitor#>)
fam_close	[#void#]fam_close(<#resource $fam#>)
fam_monitor_collection	[#resource#]fam_monitor_collection(<#resource $fam#>,<#string $dirname#>,<#int $depth#>,<#string $mask#>)
fam_monitor_directory	[#resource#]fam_monitor_directory(<#resource $fam#>,<#string $dirname#>)
fam_monitor_file	[#resource#]fam_monitor_file(<#resource $fam#>,<#string $filename#>)
fam_next_event	[#array#]fam_next_event(<#resource $fam#>)
fam_open	[#resource#]fam_open(<#string $appname#>)
fam_pending	[#int#]fam_pending(<#resource $fam#>)
fam_resume_monitor	[#bool#]fam_resume_monitor(<#resource $fam#>,<#resource $fam_monitor#>)
fam_suspend_monitor	[#bool#]fam_suspend_monitor(<#resource $fam#>,<#resource $fam_monitor#>)
fann_cascadetrain_on_data	[#bool#]fann_cascadetrain_on_data(<#resource $ann#>,<#resource $data#>,<#int $max_neurons#>,<#int $neurons_between_reports#>,<#float $desired_error#>)
fann_cascadetrain_on_file	[#bool#]fann_cascadetrain_on_file(<#resource $ann#>,<#string $filename#>,<#int $max_neurons#>,<#int $neurons_between_reports#>,<#float $desired_error#>)
fann_clear_scaling_params	[#bool#]fann_clear_scaling_params(<#resource $ann#>)
fann_copy	[#resource#]fann_copy(<#resource $ann#>)
fann_create_from_file	[#resource#]fann_create_from_file(<#string $configuration_file#>)
fann_create_shortcut_array	[#resource#]fann_create_shortcut_array(<#int $num_layers#>,<#array $layers#>)
fann_create_shortcut	[#reference#]fann_create_shortcut(<#int $num_layers#>,<#int $num_neurons1#>,<#int $num_neurons2#>,<#int $...#>)
fann_create_sparse_array	[#ReturnType#]fann_create_sparse_array(<#float $connection_rate#>,<#int $num_layers#>,<#array $layers#>)
fann_create_sparse	[#ReturnType#]fann_create_sparse(<#float $connection_rate#>,<#int $num_layers#>,<#int $num_neurons1#>,<#int $num_neurons2#>,<#int $...#>)
fann_create_standard_array	[#resource#]fann_create_standard_array(<#int $num_layers#>,<#array $layers#>)
fann_create_standard	[#resource#]fann_create_standard(<#int $num_layers#>,<#int $num_neurons1#>,<#int $num_neurons2#>,<#int $...#>)
fann_create_train_from_callback	[#resource#]fann_create_train_from_callback(<#int $num_data#>,<#int $num_input#>,<#int $num_output#>,<#collable $user_function#>)
fann_create_train	[#resource#]fann_create_train(<#int $num_data#>,<#int $num_input#>,<#int $num_output#>)
fann_descale_input	[#bool#]fann_descale_input(<#resource $ann#>,<#array $input_vector#>)
fann_descale_output	[#bool#]fann_descale_output(<#resource $ann#>,<#array $output_vector#>)
fann_descale_train	[#bool#]fann_descale_train(<#resource $ann#>,<#resource $train_data#>)
fann_destroy	[#bool#]fann_destroy(<#resource $ann#>)
fann_destroy_train	[#bool#]fann_destroy_train(<#resource $train_data#>)
fann_duplicate_train_data	[#resource#]fann_duplicate_train_data(<#resource $data#>)
fann_get_activation_function	[#int#]fann_get_activation_function(<#resource $ann#>,<#int $layer#>,<#int $neuron#>)
fann_get_activation_steepness	[#float#]fann_get_activation_steepness(<#resource $ann#>,<#int $layer#>,<#int $neuron#>)
fann_get_bias_array	[#array#]fann_get_bias_array(<#resource $ann#>)
fann_get_bit_fail	[#int#]fann_get_bit_fail(<#resource $ann#>)
fann_get_bit_fail_limit	[#float#]fann_get_bit_fail_limit(<#resource $ann#>)
fann_get_cascade_activation_functions	[#array#]fann_get_cascade_activation_functions(<#resource $ann#>)
fann_get_cascade_activation_functions_count	[#int#]fann_get_cascade_activation_functions_count(<#resource $ann#>)
fann_get_cascade_activation_steepnesses	[#array#]fann_get_cascade_activation_steepnesses(<#resource $ann#>)
fann_get_cascade_activation_steepnesses_count	[#int#]fann_get_cascade_activation_steepnesses_count(<#resource $ann#>)
fann_get_cascade_candidate_change_fraction	[#float#]fann_get_cascade_candidate_change_fraction(<#resource $ann#>)
fann_get_cascade_candidate_limit	[#float#]fann_get_cascade_candidate_limit(<#resource $ann#>)
fann_get_cascade_candidate_stagnation_epochs	[#float#]fann_get_cascade_candidate_stagnation_epochs(<#resource $ann#>)
fann_get_cascade_max_cand_epochs	[#int#]fann_get_cascade_max_cand_epochs(<#resource $ann#>)
fann_get_cascade_max_out_epochs	[#int#]fann_get_cascade_max_out_epochs(<#resource $ann#>)
fann_get_cascade_min_cand_epochs	[#int#]fann_get_cascade_min_cand_epochs(<#resource $ann#>)
fann_get_cascade_min_out_epochs	[#int#]fann_get_cascade_min_out_epochs(<#resource $ann#>)
fann_get_cascade_num_candidate_groups	[#int#]fann_get_cascade_num_candidate_groups(<#resource $ann#>)
fann_get_cascade_num_candidates	[#int#]fann_get_cascade_num_candidates(<#resource $ann#>)
fann_get_cascade_output_change_fraction	[#float#]fann_get_cascade_output_change_fraction(<#resource $ann#>)
fann_get_cascade_output_stagnation_epochs	[#int#]fann_get_cascade_output_stagnation_epochs(<#resource $ann#>)
fann_get_cascade_weight_multiplier	[#float#]fann_get_cascade_weight_multiplier(<#resource $ann#>)
fann_get_connection_array	[#array#]fann_get_connection_array(<#resource $ann#>)
fann_get_connection_rate	[#float#]fann_get_connection_rate(<#resource $ann#>)
fann_get_errno	[#int#]fann_get_errno(<#resource $errdat#>)
fann_get_errstr	[#string#]fann_get_errstr(<#resource $errdat#>)
fann_get_layer_array	[#array#]fann_get_layer_array(<#resource $ann#>)
fann_get_learning_momentum	[#float#]fann_get_learning_momentum(<#resource $ann#>)
fann_get_learning_rate	[#float#]fann_get_learning_rate(<#resource $ann#>)
fann_get_MSE	[#float#]fann_get_MSE(<#resource $ann#>)
fann_get_network_type	[#int#]fann_get_network_type(<#resource $ann#>)
fann_get_num_input	[#int#]fann_get_num_input(<#resource $ann#>)
fann_get_num_layers	[#int#]fann_get_num_layers(<#resource $ann#>)
fann_get_num_output	[#int#]fann_get_num_output(<#resource $ann#>)
fann_get_quickprop_decay	[#float#]fann_get_quickprop_decay(<#resource $ann#>)
fann_get_quickprop_mu	[#float#]fann_get_quickprop_mu(<#resource $ann#>)
fann_get_rprop_decrease_factor	[#float#]fann_get_rprop_decrease_factor(<#resource $ann#>)
fann_get_rprop_delta_max	[#float#]fann_get_rprop_delta_max(<#resource $ann#>)
fann_get_rprop_delta_min	[#float#]fann_get_rprop_delta_min(<#resource $ann#>)
fann_get_rprop_delta_zero	[#ReturnType#]fann_get_rprop_delta_zero(<#resource $ann#>)
fann_get_rprop_increase_factor	[#float#]fann_get_rprop_increase_factor(<#resource $ann#>)
fann_get_sarprop_step_error_shift	[#float#]fann_get_sarprop_step_error_shift(<#resource $ann#>)
fann_get_sarprop_step_error_threshold_factor	[#float#]fann_get_sarprop_step_error_threshold_factor(<#resource $ann#>)
fann_get_sarprop_temperature	[#float#]fann_get_sarprop_temperature(<#resource $ann#>)
fann_get_sarprop_weight_decay_shift	[#float#]fann_get_sarprop_weight_decay_shift(<#resource $ann#>)
fann_get_total_connections	[#int#]fann_get_total_connections(<#resource $ann#>)
fann_get_total_neurons	[#int#]fann_get_total_neurons(<#resource $ann#>)
fann_get_train_error_function	[#int#]fann_get_train_error_function(<#resource $ann#>)
fann_get_training_algorithm	[#int#]fann_get_training_algorithm(<#resource $ann#>)
fann_get_train_stop_function	[#int#]fann_get_train_stop_function(<#resource $ann#>)
fann_init_weights	[#bool#]fann_init_weights(<#resource $ann#>,<#resource $train_data#>)
fann_length_train_data	[#int#]fann_length_train_data(<#resource $data#>)
fann_merge_train_data	[#resource#]fann_merge_train_data(<#resource $data1#>,<#resource $data2#>)
fann_num_input_train_data	[#int#]fann_num_input_train_data(<#resource $data#>)
fann_num_output_train_data	[#int#]fann_num_output_train_data(<#resource $data#>)
fann_print_error	[#void#]fann_print_error(<#string $errdat#>)
fann_randomize_weights	[#bool#]fann_randomize_weights(<#resource $ann#>,<#float $min_weight#>,<#float $max_weight#>)
fann_read_train_from_file	[#resource#]fann_read_train_from_file(<#string $filename#>)
fann_reset_errno	[#void#]fann_reset_errno(<#resource $errdat#>)
fann_reset_errstr	[#void#]fann_reset_errstr(<#resource $errdat#>)
fann_reset_MSE	[#bool#]fann_reset_MSE(<#string $ann#>)
fann_run	[#array#]fann_run(<#resource $ann#>,<#array $input#>)
fann_save	[#bool#]fann_save(<#resource $ann#>,<#string $configuration_file#>)
fann_save_train	[#bool#]fann_save_train(<#resource $data#>,<#string $file_name#>)
fann_scale_input	[#bool#]fann_scale_input(<#resource $ann#>,<#array $input_vector#>)
fann_scale_input_train_data	[#bool#]fann_scale_input_train_data(<#resource $train_data#>,<#float $new_min#>,<#float $new_max#>)
fann_scale_output	[#bool#]fann_scale_output(<#resource $ann#>,<#array $output_vector#>)
fann_scale_output_train_data	[#bool#]fann_scale_output_train_data(<#resource $train_data#>,<#float $new_min#>,<#float $new_max#>)
fann_scale_train	[#bool#]fann_scale_train(<#resource $ann#>,<#resource $train_data#>)
fann_scale_train_data	[#bool#]fann_scale_train_data(<#resource $train_data#>,<#float $new_min#>,<#float $new_max#>)
fann_set_activation_function	[#bool#]fann_set_activation_function(<#resource $ann#>,<#int $activation_function#>,<#int $layer#>,<#int $neuron#>)
fann_set_activation_function_hidden	[#bool#]fann_set_activation_function_hidden(<#resource $ann#>,<#int $activation_function#>)
fann_set_activation_function_layer	[#bool#]fann_set_activation_function_layer(<#resource $ann#>,<#int $activation_function#>,<#int $layer#>)
fann_set_activation_function_output	[#bool#]fann_set_activation_function_output(<#resource $ann#>,<#int $activation_function#>)
fann_set_activation_steepness	[#bool#]fann_set_activation_steepness(<#resource $ann#>,<#float $activation_steepness#>,<#int $layer#>,<#int $neuron#>)
fann_set_activation_steepness_hidden	[#bool#]fann_set_activation_steepness_hidden(<#resource $ann#>,<#float $activation_steepness#>)
fann_set_activation_steepness_layer	[#bool#]fann_set_activation_steepness_layer(<#resource $ann#>,<#float $activation_steepness#>,<#int $layer#>)
fann_set_activation_steepness_output	[#bool#]fann_set_activation_steepness_output(<#resource $ann#>,<#float $activation_steepness#>)
fann_set_bit_fail_limit	[#bool#]fann_set_bit_fail_limit(<#resource $ann#>,<#float $bit_fail_limit#>)
fann_set_callback	[#bool#]fann_set_callback(<#resource $ann#>,<#collable $callback#>)
fann_set_cascade_activation_functions	[#bool#]fann_set_cascade_activation_functions(<#resource $ann#>,<#array $cascade_activation_functions#>)
fann_set_cascade_activation_steepnesses	[#bool#]fann_set_cascade_activation_steepnesses(<#resource $ann#>,<#array $cascade_activation_steepnesses_count#>)
fann_set_cascade_candidate_change_fraction	[#bool#]fann_set_cascade_candidate_change_fraction(<#resource $ann#>,<#float $cascade_candidate_change_fraction#>)
fann_set_cascade_candidate_limit	[#bool#]fann_set_cascade_candidate_limit(<#resource $ann#>,<#float $cascade_candidate_limit#>)
fann_set_cascade_candidate_stagnation_epochs	[#bool#]fann_set_cascade_candidate_stagnation_epochs(<#resource $ann#>,<#int $cascade_candidate_stagnation_epochs#>)
fann_set_cascade_max_cand_epochs	[#bool#]fann_set_cascade_max_cand_epochs(<#resource $ann#>,<#int $cascade_max_cand_epochs#>)
fann_set_cascade_max_out_epochs	[#bool#]fann_set_cascade_max_out_epochs(<#resource $ann#>,<#int $cascade_max_out_epochs#>)
fann_set_cascade_min_cand_epochs	[#bool#]fann_set_cascade_min_cand_epochs(<#resource $ann#>,<#int $cascade_min_cand_epochs#>)
fann_set_cascade_min_out_epochs	[#bool#]fann_set_cascade_min_out_epochs(<#resource $ann#>,<#int $cascade_min_out_epochs#>)
fann_set_cascade_num_candidate_groups	[#bool#]fann_set_cascade_num_candidate_groups(<#resource $ann#>,<#int $cascade_num_candidate_groups#>)
fann_set_cascade_output_change_fraction	[#bool#]fann_set_cascade_output_change_fraction(<#resource $ann#>,<#float $cascade_output_change_fraction#>)
fann_set_cascade_output_stagnation_epochs	[#bool#]fann_set_cascade_output_stagnation_epochs(<#resource $ann#>,<#int $cascade_output_stagnation_epochs#>)
fann_set_cascade_weight_multiplier	[#bool#]fann_set_cascade_weight_multiplier(<#resource $ann#>,<#float $cascade_weight_multiplier#>)
fann_set_error_log	[#void#]fann_set_error_log(<#resource $errdat#>,<#string $log_file#>)
fann_set_input_scaling_params	[#bool#]fann_set_input_scaling_params(<#resource $ann#>,<#resource $train_data#>,<#float $new_input_min#>,<#float $new_input_max#>)
fann_set_learning_momentum	[#bool#]fann_set_learning_momentum(<#resource $ann#>,<#float $learning_momentum#>)
fann_set_learning_rate	[#bool#]fann_set_learning_rate(<#resource $ann#>,<#float $learning_rate#>)
fann_set_output_scaling_params	[#bool#]fann_set_output_scaling_params(<#resource $ann#>,<#resource $train_data#>,<#float $new_output_min#>,<#float $new_output_max#>)
fann_set_quickprop_decay	[#bool#]fann_set_quickprop_decay(<#resource $ann#>,<#float $quickprop_decay#>)
fann_set_quickprop_mu	[#bool#]fann_set_quickprop_mu(<#resource $ann#>,<#float $quickprop_mu#>)
fann_set_rprop_decrease_factor	[#bool#]fann_set_rprop_decrease_factor(<#resource $ann#>,<#float $rprop_decrease_factor#>)
fann_set_rprop_delta_max	[#bool#]fann_set_rprop_delta_max(<#resource $ann#>,<#float $rprop_delta_max#>)
fann_set_rprop_delta_min	[#bool#]fann_set_rprop_delta_min(<#resource $ann#>,<#float $rprop_delta_min#>)
fann_set_rprop_delta_zero	[#bool#]fann_set_rprop_delta_zero(<#resource $ann#>,<#float $rprop_delta_zero#>)
fann_set_rprop_increase_factor	[#bool#]fann_set_rprop_increase_factor(<#resource $ann#>,<#float $rprop_increase_factor#>)
fann_set_sarprop_step_error_shift	[#bool#]fann_set_sarprop_step_error_shift(<#resource $ann#>,<#float $sarprop_step_error_shift#>)
fann_set_sarprop_step_error_threshold_factor	[#bool#]fann_set_sarprop_step_error_threshold_factor(<#resource $ann#>,<#float $sarprop_step_error_threshold_factor#>)
fann_set_sarprop_temperature	[#bool#]fann_set_sarprop_temperature(<#resource $ann#>,<#float $sarprop_temperature#>)
fann_set_sarprop_weight_decay_shift	[#bool#]fann_set_sarprop_weight_decay_shift(<#resource $ann#>,<#float $sarprop_weight_decay_shift#>)
fann_set_scaling_params	[#bool#]fann_set_scaling_params(<#resource $ann#>,<#resource $train_data#>,<#float $new_input_min#>,<#float $new_input_max#>,<#float $new_output_min#>,<#float $new_output_max#>)
fann_set_train_error_function	[#bool#]fann_set_train_error_function(<#resource $ann#>,<#int $error_function#>)
fann_set_training_algorithm	[#bool#]fann_set_training_algorithm(<#resource $ann#>,<#int $training_algorithm#>)
fann_set_train_stop_function	[#bool#]fann_set_train_stop_function(<#resource $ann#>,<#int $stop_function#>)
fann_set_weight_array	[#bool#]fann_set_weight_array(<#resource $ann#>,<#array $connections#>)
fann_set_weight	[#bool#]fann_set_weight(<#resource $ann#>,<#int $from_neuron#>,<#int $to_neuron#>,<#float $weight#>)
fann_shuffle_train_data	[#bool#]fann_shuffle_train_data(<#resource $train_data#>)
fann_subset_train_data	[#resource#]fann_subset_train_data(<#resource $data#>,<#int $pos#>,<#int $length#>)
fann_test	[#bool#]fann_test(<#resource $ann#>,<#array $input#>,<#array $desired_output#>)
fann_test_data	[#float#]fann_test_data(<#resource $ann#>,<#resource $data#>)
fann_train	[#bool#]fann_train(<#resource $ann#>,<#array $input#>,<#array $desired_output#>)
fann_train_epoch	[#float#]fann_train_epoch(<#resource $ann#>,<#resource $data#>)
fann_train_on_data	[#bool#]fann_train_on_data(<#resource $ann#>,<#resource $data#>,<#int $max_epochs#>,<#int $epochs_between_reports#>,<#float $desired_error#>)
fann_train_on_file	[#bool#]fann_train_on_file(<#resource $ann#>,<#string $filename#>,<#int $max_epochs#>,<#int $epochs_between_reports#>,<#float $desired_error#>)
fastcgi_finish_request	[#boolean#]fastcgi_finish_request()
fbsql_affected_rows	[#int#]fbsql_affected_rows(<#resource $link_identifier#>)
fbsql_autocommit	[#bool#]fbsql_autocommit(<#resource $link_identifier#>,<#bool $OnOff#>)
fbsql_blob_size	[#int#]fbsql_blob_size(<#string $blob_handle#>,<#resource $link_identifier#>)
fbsql_change_user	[#bool#]fbsql_change_user(<#string $user#>,<#string $password#>,<#string $database#>,<#resource $link_identifier#>)
fbsql_clob_size	[#int#]fbsql_clob_size(<#string $clob_handle#>,<#resource $link_identifier#>)
fbsql_close	[#bool#]fbsql_close(<#resource $link_identifier#>)
fbsql_commit	[#bool#]fbsql_commit(<#resource $link_identifier#>)
fbsql_connect	[#resource#]fbsql_connect(<#string $hostname#>,<#string $username#>,<#string $password#>)
fbsql_create_blob	[#string#]fbsql_create_blob(<#string $blob_data#>,<#resource $link_identifier#>)
fbsql_create_clob	[#string#]fbsql_create_clob(<#string $clob_data#>,<#resource $link_identifier#>)
fbsql_create_db	[#bool#]fbsql_create_db(<#string $database_name#>,<#resource $link_identifier#>,<#string $database_options#>)
fbsql_database_password	[#string#]fbsql_database_password(<#resource $link_identifier#>,<#string $database_password#>)
fbsql_database	[#string#]fbsql_database(<#resource $link_identifier#>,<#string $database#>)
fbsql_data_seek	[#bool#]fbsql_data_seek(<#resource $result#>,<#int $row_number#>)
fbsql_db_query	[#resource#]fbsql_db_query(<#string $database#>,<#string $query#>,<#resource $link_identifier#>)
fbsql_db_status	[#int#]fbsql_db_status(<#string $database_name#>,<#resource $link_identifier#>)
fbsql_drop_db	[#bool#]fbsql_drop_db(<#string $database_name#>,<#resource $link_identifier#>)
fbsql_errno	[#int#]fbsql_errno(<#resource $link_identifier#>)
fbsql_error	[#string#]fbsql_error(<#resource $link_identifier#>)
fbsql_fetch_array	[#array#]fbsql_fetch_array(<#resource $result#>,<#int $result_type#>)
fbsql_fetch_assoc	[#array#]fbsql_fetch_assoc(<#resource $result#>)
fbsql_fetch_field	[#object#]fbsql_fetch_field(<#resource $result#>,<#int $field_offset#>)
fbsql_fetch_lengths	[#array#]fbsql_fetch_lengths(<#resource $result#>)
fbsql_fetch_object	[#object#]fbsql_fetch_object(<#resource $result#>)
fbsql_fetch_row	[#array#]fbsql_fetch_row(<#resource $result#>)
fbsql_field_flags	[#string#]fbsql_field_flags(<#resource $result#>,<#int $field_offset#>)
fbsql_field_len	[#int#]fbsql_field_len(<#resource $result#>,<#int $field_offset#>)
fbsql_field_name	[#string#]fbsql_field_name(<#resource $result#>,<#int $field_index#>)
fbsql_field_seek	[#bool#]fbsql_field_seek(<#resource $result#>,<#int $field_offset#>)
fbsql_field_table	[#string#]fbsql_field_table(<#resource $result#>,<#int $field_offset#>)
fbsql_field_type	[#string#]fbsql_field_type(<#resource $result#>,<#int $field_offset#>)
fbsql_free_result	[#bool#]fbsql_free_result(<#resource $result#>)
fbsql_get_autostart_info	[#array#]fbsql_get_autostart_info(<#resource $link_identifier#>)
fbsql_hostname	[#string#]fbsql_hostname(<#resource $link_identifier#>,<#string $host_name#>)
fbsql_insert_id	[#int#]fbsql_insert_id(<#resource $link_identifier#>)
fbsql_list_dbs	[#resource#]fbsql_list_dbs(<#resource $link_identifier#>)
fbsql_list_fields	[#resource#]fbsql_list_fields(<#string $database_name#>,<#string $table_name#>,<#resource $link_identifier#>)
fbsql_list_tables	[#resource#]fbsql_list_tables(<#string $database#>,<#resource $link_identifier#>)
fbsql_next_result	[#bool#]fbsql_next_result(<#resource $result#>)
fbsql_num_fields	[#int#]fbsql_num_fields(<#resource $result#>)
fbsql_num_rows	[#int#]fbsql_num_rows(<#resource $result#>)
fbsql_password	[#string#]fbsql_password(<#resource $link_identifier#>,<#string $password#>)
fbsql_pconnect	[#resource#]fbsql_pconnect(<#string $hostname#>,<#string $username#>,<#string $password#>)
fbsql_query	[#resource#]fbsql_query(<#string $query#>,<#resource $link_identifier#>,<#int $batch_size#>)
fbsql_read_blob	[#string#]fbsql_read_blob(<#string $blob_handle#>,<#resource $link_identifier#>)
fbsql_read_clob	[#string#]fbsql_read_clob(<#string $clob_handle#>,<#resource $link_identifier#>)
fbsql_result	[#mixed#]fbsql_result(<#resource $result#>,<#int $row#>,<#mixed $field#>)
fbsql_rollback	[#bool#]fbsql_rollback(<#resource $link_identifier#>)
fbsql_rows_fetched	[#int#]fbsql_rows_fetched(<#resource $result#>)
fbsql_select_db	[#bool#]fbsql_select_db(<#string $database_name#>,<#resource $link_identifier#>)
fbsql_set_characterset	[#void#]fbsql_set_characterset(<#resource $link_identifier#>,<#int $characterset#>,<#int $in_out_both#>)
fbsql_set_lob_mode	[#bool#]fbsql_set_lob_mode(<#resource $result#>,<#int $lob_mode#>)
fbsql_set_password	[#bool#]fbsql_set_password(<#resource $link_identifier#>,<#string $user#>,<#string $password#>,<#string $old_password#>)
fbsql_set_transaction	[#void#]fbsql_set_transaction(<#resource $link_identifier#>,<#int $locking#>,<#int $isolation#>)
fbsql_start_db	[#bool#]fbsql_start_db(<#string $database_name#>,<#resource $link_identifier#>,<#string $database_options#>)
fbsql_stop_db	[#bool#]fbsql_stop_db(<#string $database_name#>,<#resource $link_identifier#>)
fbsql_table_name	[#string#]fbsql_table_name(<#resource $result#>,<#int $index#>)
fbsql_username	[#string#]fbsql_username(<#resource $link_identifier#>,<#string $username#>)
fbsql_warnings	[#bool#]fbsql_warnings(<#bool $OnOff#>)
fclose	[#bool#]fclose(<#resource $handle#>)
fdf_add_doc_javascript	[#bool#]fdf_add_doc_javascript(<#resource $fdf_document#>,<#string $script_name#>,<#string $script_code#>)
fdf_add_template	[#bool#]fdf_add_template(<#resource $fdf_document#>,<#int $newpage#>,<#string $filename#>,<#string $template#>,<#int $rename#>)
fdf_close	[#void#]fdf_close(<#resource $fdf_document#>)
fdf_create	[#resource#]fdf_create()
fdf_enum_values	[#bool#]fdf_enum_values(<#resource $fdf_document#>,<#callable $function#>,<#mixed $userdata#>)
fdf_errno	[#int#]fdf_errno()
fdf_error	[#string#]fdf_error(<#int $error_code#>)
fdf_get_ap	[#bool#]fdf_get_ap(<#resource $fdf_document#>,<#string $field#>,<#int $face#>,<#string $filename#>)
fdf_get_attachment	[#array#]fdf_get_attachment(<#resource $fdf_document#>,<#string $fieldname#>,<#string $savepath#>)
fdf_get_encoding	[#string#]fdf_get_encoding(<#resource $fdf_document#>)
fdf_get_file	[#string#]fdf_get_file(<#resource $fdf_document#>)
fdf_get_flags	[#int#]fdf_get_flags(<#resource $fdf_document#>,<#string $fieldname#>,<#int $whichflags#>)
fdf_get_opt	[#mixed#]fdf_get_opt(<#resource $fdf_document#>,<#string $fieldname#>,<#int $element#>)
fdf_get_status	[#string#]fdf_get_status(<#resource $fdf_document#>)
fdf_get_value	[#mixed#]fdf_get_value(<#resource $fdf_document#>,<#string $fieldname#>,<#int $which#>)
fdf_get_version	[#string#]fdf_get_version(<#resource $fdf_document#>)
fdf_header	[#void#]fdf_header()
fdf_next_field_name	[#string#]fdf_next_field_name(<#resource $fdf_document#>,<#string $fieldname#>)
fdf_open	[#resource#]fdf_open(<#string $filename#>)
fdf_open_string	[#resource#]fdf_open_string(<#string $fdf_data#>)
fdf_remove_item	[#bool#]fdf_remove_item(<#resource $fdf_document#>,<#string $fieldname#>,<#int $item#>)
fdf_save	[#bool#]fdf_save(<#resource $fdf_document#>,<#string $filename#>)
fdf_save_string	[#string#]fdf_save_string(<#resource $fdf_document#>)
fdf_set_ap	[#bool#]fdf_set_ap(<#resource $fdf_document#>,<#string $field_name#>,<#int $face#>,<#string $filename#>,<#int $page_number#>)
fdf_set_encoding	[#bool#]fdf_set_encoding(<#resource $fdf_document#>,<#string $encoding#>)
fdf_set_file	[#bool#]fdf_set_file(<#resource $fdf_document#>,<#string $url#>,<#string $target_frame#>)
fdf_set_flags	[#bool#]fdf_set_flags(<#resource $fdf_document#>,<#string $fieldname#>,<#int $whichFlags#>,<#int $newFlags#>)
fdf_set_javascript_action	[#bool#]fdf_set_javascript_action(<#resource $fdf_document#>,<#string $fieldname#>,<#int $trigger#>,<#string $script#>)
fdf_set_on_import_javascript	[#bool#]fdf_set_on_import_javascript(<#resource $fdf_document#>,<#string $script#>,<#bool $before_data_import#>)
fdf_set_opt	[#bool#]fdf_set_opt(<#resource $fdf_document#>,<#string $fieldname#>,<#int $element#>,<#string $str1#>,<#string $str2#>)
fdf_set_status	[#bool#]fdf_set_status(<#resource $fdf_document#>,<#string $status#>)
fdf_set_submit_form_action	[#bool#]fdf_set_submit_form_action(<#resource $fdf_document#>,<#string $fieldname#>,<#int $trigger#>,<#string $script#>,<#int $flags#>)
fdf_set_target_frame	[#bool#]fdf_set_target_frame(<#resource $fdf_document#>,<#string $frame_name#>)
fdf_set_value	[#bool#]fdf_set_value(<#resource $fdf_document#>,<#string $fieldname#>,<#mixed $value#>,<#int $isName#>)
fdf_set_version	[#bool#]fdf_set_version(<#resource $fdf_document#>,<#string $version#>)
feof	[#bool#]feof(<#resource $handle#>)
fflush	[#bool#]fflush(<#resource $handle#>)
fgetc	[#string#]fgetc(<#resource $handle#>)
fgetcsv	[#array#]fgetcsv(<#resource $handle#>,<#int $length#>,<#string $delimiter#>,<#string $enclosure#>,<#string $escape#>)
fgetss	[#string#]fgetss(<#resource $handle#>,<#int $length#>,<#string $allowable_tags#>)
fgets	[#string#]fgets(<#resource $handle#>,<#int $length#>)
file	[#array#]file(<#string $filename#>,<#int $flags#>,<#resource $context#>)
fileatime	[#int#]fileatime(<#string $filename#>)
filectime	[#int#]filectime(<#string $filename#>)
file_exists	[#bool#]file_exists(<#string $filename#>)
