abs	[#number#]abs(<#mixed $number#>)
array_replace	[#array#]array_replace(<#array $array#>,<#array $array1#>,<#array $...#>)
array_replace_recursive	[#array#]array_replace_recursive(<#array $array#>,<#array $array1#>,<#array $...#>)
array_reverse	[#array#]array_reverse(<#array $array#>,<#bool $preserve_keys#>)
array_search	[#mixed#]array_search(<#mixed $needle#>,<#array $haystack#>,<#bool $strict#>)
array_shift	[#mixed#]array_shift(<#array &$array#>)
array_slice	[#array#]array_slice(<#array $array#>,<#int $offset#>,<#int $length#>,<#bool $preserve_keys#>)
array_splice	[#array#]array_splice(<#array &$input#>,<#int $offset#>,<#int $length#>,<#mixed $replacement#>)
array_sum	[#number#]array_sum(<#array $array#>)
array_udiff	[#array#]array_udiff(<#array $array1#>,<#array $array2#>,<#array $ ...#>,<#callable $data_compare_func#>)
array_udiff_assoc	[#array#]array_udiff_assoc(<#array $array1#>,<#array $array2#>,<#array $ ...#>,<#callable $data_compare_func#>)
array_udiff_uassoc	[#array#]array_udiff_uassoc(<#array $array1#>,<#array $array2#>,<#array $ ...#>,<#callable $data_compare_func#>,<#callable $key_compare_func#>)
array_uintersect	[#array#]array_uintersect(<#array $array1#>,<#array $array2#>,<#array $ ...#>,<#callable $data_compare_func#>)
array_uintersect_assoc	[#array#]array_uintersect_assoc(<#array $array1#>,<#array $array2#>,<#array $ ...#>,<#callable $data_compare_func#>)
array_uintersect_uassoc	[#array#]array_uintersect_uassoc(<#array $array1#>,<#array $array2#>,<#array $ ...#>,<#callable $data_compare_func#>,<#callable $key_compare_func#>)
array_unique	[#array#]array_unique(<#array $array#>,<#int $sort_flags#>)
array_unshift	[#int#]array_unshift(<#array &$array#>,<#mixed $var#>,<#mixed $...#>)
array_values	[#array#]array_values(<#array $input#>)
array_walk	[#bool#]array_walk(<#array &$array#>,<#callable $funcname#>,<#mixed $userdata#>)
array_walk_recursive	[#bool#]array_walk_recursive(<#array &$input#>,<#callable $funcname#>,<#mixed $userdata#>)
arsort	[#bool#]arsort(<#array &$array#>,<#int $sort_flags#>)
asin	[#float#]asin(<#float $arg#>)
asinh	[#float#]asinh(<#float $arg#>)
asort	[#bool#]asort(<#array &$array#>,<#int $sort_flags#>)
assert	[#bool#]assert(<#mixed $assertion#>,<#string $description#>)
assert_options	[#mixed#]assert_options(<#int $what#>,<#mixed $value#>)
atan2	[#float#]atan2(<#float $y#>,<#float $x#>)
atan	[#float#]atan(<#float $arg#>)
atanh	[#float#]atanh(<#float $arg#>)
__autoload	[#void#]__autoload(<#string $class#>)
base64_decode	[#string#]base64_decode(<#string $data#>,<#bool $strict#>)
base64_encode	[#string#]base64_encode(<#string $data#>)
base_convert	[#string#]base_convert(<#string $number#>,<#int $frombase#>,<#int $tobase#>)
basename	[#string#]basename(<#string $path#>,<#string $suffix#>)
bbcode_add_element	[#bool#]bbcode_add_element(<#resource $bbcode_container#>,<#string $tag_name#>,<#array $tag_rules#>)
bbcode_add_smiley	[#bool#]bbcode_add_smiley(<#resource $bbcode_container#>,<#string $smiley#>,<#string $replace_by#>)
bbcode_create	[#resource#]bbcode_create(<#array $bbcode_initial_tags#>)
bbcode_destroy	[#bool#]bbcode_destroy(<#resource $bbcode_container#>)
bbcode_parse	[#string#]bbcode_parse(<#resource $bbcode_container#>,<#string $to_parse#>)
